Alert_Name,Alert_Status,Alert_Risk,Alert_Type,AVG,OWASP SCORE,Detectability,Exploitability,Technical Impact,Risk Severity,Mitigation,~Time,Health,S1,S2,S3,S4,S5,S6
Backup File Disclosure,beta,Medium,Active,2,6,3,2,2,18,3,5,H2,,1,,,1,
Timestamp Disclosure,release,Low,Passive,2,6,3,3,1,9,3,5,H1,,,,,,
Hash Disclosure,release,Low,Passive,2,6,3,3,1,9,3,5,H1,,,,,,
Cross-Domain Misconfiguration,release,Medium,Passive,2,6,2,2,4,28,2,15,H2,,1,,,,
Source Code Disclosure - PHP,alpha,Medium,Passive,3,6,3,2,5,54,2,5,H1,1,1,1,1,1,
Image Exposes Location or Privacy Data,beta,Informational,Passive,3,6,2,3,2,18,2,15,H4,,,,,,1
User Agent Fuzzer,release,Informational,Active,2,6,2,2,2,12,2,10,H4,,,,,,
Weak Authentication Method,release,Medium,Passive,2,6,2,2,5,36,2,20,H1,,,,1,1,
HTTP Only Site,beta,Medium,Active,3,6,3,3,5,81,3,5,H2,1,1,,,,
Httpoxy - Proxy Header Misuse,beta,High,Active,2,4,3,2,3,30,2,5,H2,,1,,,,
Reverse Tabnabbing,release,High,Passive,3,6,2,2,3,20,3,15,H1,,1,,,1,
Modern Web Application,release,Informational,Passive,#N/A,#N/A,3,3,1,9,3,5,H1,,,,,,
Dangerous JS Functions,beta,Low,Passive,3,6,3,3,5,81,2,60,H1,1,1,,,,
Authentication Request Identified,alpha,Informational,Passive,#N/A,#N/A,2,2,2,12,3,10,H1,,,,,,
Session Management Response Identified,alpha,Informational,Passive,#N/A,#N/A,2,2,2,12,3,5,H1,,,,,,
Verification Request Identified,alpha,Informational,Passive,#N/A,#N/A,2,2,2,12,3,5,H1,,,,,,
Absence of Anti-CSRF Tokens,release,Medium,Passive,2,6,3,2,4,42,3,10,H1,,1,,,,
Anti-CSRF Tokens Check,beta,Medium,Active,3,6,3,2,3,30,3,10,H1,,1,,,,
HTTP Parameter Pollution,beta,Informational,Active,3,9,2,2,2,12,2,10,H1,,1,,,,
Heartbleed OpenSSL Vulnerability,release,High,Active,2,4,3,2,4,42,2,10,H3,,,,1,1,
Cross-Domain Misconfiguration,beta,High,Active,3,6,2,2,4,28,2,15,H2,,1,,,1,
Source Code Disclosure - CVE-2012-1823,release,High,Active,2,4,3,3,5,81,3,10,H3,1,1,1,1,1,
Remote Code Execution - CVE-2012-1823,release,High,Active,2,4,3,3,5,81,2,20,H3,1,1,1,1,1,
External Redirect,release,High,Active,3,9,3,1,3,15,2,10,H2,,,,1,,1
External Redirect,release,High,Active,3,9,3,1,3,15,2,10,H2,,,,1,,1
External Redirect,release,High,Active,3,9,3,1,3,15,2,10,H2,,,,1,,1
External Redirect,release,High,Active,3,9,3,1,3,15,2,10,H2,,,,1,,1
External Redirect,release,High,Active,3,9,3,1,3,15,2,10,H2,,,,1,,1
Buffer Overflow,release,Medium,Active,3,9,2,2,3,20,2,10,H2,,1,,,,
Format String Error,release,Medium,Active,3,9,2,2,3,20,2,10,H1,,1,,,1,
Integer Overflow Error,beta,Medium,Active,3,9,2,2,3,20,2,10,H1,,1,,,1,
CRLF Injection,release,Medium,Active,3,9,3,2,5,54,2,20,H3,,1,1,,,
Parameter Tampering,release,Medium,Active,3,9,3,2,4,42,2,15,H3,,1,1,,,
Server Side Include,release,High,Active,3,9,1,2,4,14,2,10,H1,,1,1,,,
Cross Site Scripting (Reflected),release,High,Active,3,6,2,2,4,28,2,10,H1,,1,,1,,
Session Fixation,beta,High,Active,2,6,1,2,4,14,2,10,H4,,1,,1,,
Cross Site Scripting (Persistent),release,High,Active,3,6,2,2,4,28,2,10,H1,,1,,1,,
LDAP Injection,alpha,High,Active,3,9,1,1,5,9,2,20,H2,,,,,1,
Cross Site Scripting (Persistent) - Prime,release,High,Active,3,6,2,2,4,28,2,10,H1,,1,,1,,
Cross Site Scripting (Persistent) - Spider,release,High,Active,3,6,2,2,4,28,2,10,H1,,1,,1,,
SQL Injection,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
SQL Injection - MySQL,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
SQL Injection - Hypersonic SQL,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
SQL Injection - Oracle,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
SQL Injection - PostgreSQL,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
Possible Username Enumeration,beta,Informational,Active,3,6,2,2,4,28,2,15,H2,,,,1,1,
SQL Injection - SQLite,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
Proxy Disclosure,beta,Medium,Active,3,6,3,3,3,45,3,5,H2,,1,,,,
Cross Site Scripting (DOM Based),release,High,Active,3,6,2,1,4,14,2,20,H1,,1,,,1,
SQL Injection - MsSQL,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
ELMAH Information Leak,release,Medium,Active,3,6,3,2,3,30,2,15,H2,,,,1,1,
Trace.axd Information Leak,release,Medium,Active,3,6,3,2,3,30,2,15,H2,,,,1,1,
Out of Band XSS,beta,High,Active,3,6,2,1,5,18,2,20,H1,,1,,1,,
.htaccess Information Leak,release,Medium,Active,3,6,3,2,5,54,3,10,H2,,1,,,,
NoSQL Injection - MongoDB,alpha,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
.env Information Leak,release,Medium,Active,3,6,2,2,5,36,3,15,H2,,1,1,1,,
Hidden File Found,release,Medium,Active,3,6,2,2,3,20,3,15,H2,,1,,,,
JWT Scan Rule,alpha,Medium,Active,3,6,2,2,2,12,3,15,H2,,,,,,
Bypassing 403,beta,Medium,Active,2,6,2,1,3,10,2,10,H2,,1,,,,
Web Cache Deception,alpha,Medium,Active,3,6,2,2,2,12,2,15,H2,,,,,1,
CORS Header,beta,Medium,Active,2,6,2,2,3,20,2,15,H2,,,,,1,
CORS Header,beta,Informational,Active,2,6,2,2,3,20,2,15,H2,,,,,1,
CORS Misconfiguration,beta,Medium,Active,2,6,2,2,3,20,2,15,H2,,,,,1,
CORS Misconfiguration,beta,High,Active,2,6,2,2,3,20,2,15,H2,,,,,1,
File Upload,alpha,Medium,Active,2,6,3,3,5,81,3,5,H2,,1,,,,
Spring Actuator Information Leak,beta,Medium,Active,2,6,3,2,2,18,3,15,H3,,,,,,
Log4Shell,beta,High,Active,2,4,3,3,5,81,3,10,H3,,1,1,1,1,
Log4Shell (CVE-2021-44228),beta,High,Active,2,4,3,3,5,81,3,10,H3,,1,1,1,1,
Log4Shell (CVE-2021-45046),beta,High,Active,2,4,3,3,5,81,3,10,H3,,1,1,1,1,
Exponential Entity Expansion (Billion Laughs Attack),beta,Medium,Active,3,9,3,3,5,81,3,10,H3,1,1,,,,
Spring4Shell,beta,High,Active,3,9,3,3,5,81,3,10,H3,,1,1,,,
Server Side Request Forgery,alpha,High,Active,3,9,2,1,5,18,3,10,H1,,1,1,,,
Text4shell (CVE-2022-42889),alpha,High,Active,2,4,3,2,5,54,3,10,H3,,1,1,,,
Insecure JSF ViewState,release,Medium,Passive,3,6,2,2,3,20,2,10,H2,,1,,,,
Java Serialization Object,beta,Medium,Passive,2,6,2,2,3,20,2,15,H2,,1,,,,
Sub Resource Integrity Attribute Missing,beta,Medium,Passive,3,6,3,2,3,30,3,10,H1,,1,,,,
Insufficient Site Isolation Against Spectre Vulnerability,alpha,Low,Passive,2,6,3,2,4,42,2,10,H1,,1,,,,
Insufficient Site Isolation Against Spectre Vulnerability,alpha,Low,Passive,2,6,3,2,4,42,2,10,H1,,1,,,,
Insufficient Site Isolation Against Spectre Vulnerability,alpha,Low,Passive,2,6,3,2,4,42,2,10,H1,,1,,,,
Insufficient Site Isolation Against Spectre Vulnerability,alpha,Low,Passive,2,6,3,2,4,42,2,10,H1,,1,,,,
Charset Mismatch,release,Informational,Passive,2,6,3,3,1,9,3,5,H1,,,,,,
XSLT Injection,release,Medium,Active,3,9,2,2,5,36,2,20,H2,,,1,,,
Advanced SQL Injection,beta,High,Active,3,9,2,2,5,36,2,20,H2,,,1,,,
Server Side Code Injection,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
Server Side Code Injection - PHP Code Injection,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
Server Side Code Injection - ASP Code Injection,release,High,Active,3,9,2,2,5,36,2,20,H2,,1,1,,,
Remote OS Command Injection,release,High,Active,3,9,2,1,5,18,1,120,H2,1,1,1,1,1,
XPath Injection,beta,High,Active,3,9,2,2,5,36,2,20,H2,,1,,,,
Application Error Disclosure,release,Medium,Passive,3,6,3,3,2,27,3,5,H2,,,,,1,
XML External Entity Attack,release,High,Active,2,6,2,2,5,36,1,120,H2,,,1,,,
Generic Padding Oracle,release,High,Active,3,6,2,2,4,28,2,20,H2,,,1,,,
Expression Language Injection,beta,High,Active,3,9,2,2,3,20,2,20,H2,,,1,,,
SOAP Action Spoofing,beta,High,Active,3,9,2,1,4,14,3,5,H1,,1,1,,,
Cookie Slack Detector,beta,Informational,Active,3,6,2,2,3,20,3,10,H4,,,,1,1,
Insecure HTTP Method,beta,Medium,Active,3,6,2,3,2,18,3,10,H2,,,,,1,
SOAP XML Injection,beta,High,Active,3,9,2,2,5,36,2,20,H2,,,,1,1,
WSDL File Detection,beta,Medium,Passive,3,6,2,2,3,20,3,5,H2,,,,1,1,
Loosely Scoped Cookie,release,Informational,Passive,3,6,3,3,3,45,2,15,H4,,,,1,1,
Cloud Metadata Potentially Exposed,release,High,Active,3,6,2,3,3,30,2,20,H4,1,,,,,
Server Side Template Injection,beta,High,Active,3,9,2,1,5,18,2,20,H1,,1,1,,,
Server Side Template Injection (Blind),beta,High,Active,3,9,2,1,5,18,2,20,H1,,1,1,,,
Application Error Disclosure via WebSockets,release,Medium,WebSocket Passive,2,6,3,2,3,30,3,5,H2,,1,,,,
Base64 Disclosure in WebSocket message,release,Informational,WebSocket Passive,2,6,2,2,2,12,3,5,H2,,1,,,,
Information Disclosure - Debug Error Messages via WebSocket,release,Low,WebSocket Passive,2,6,3,2,2,18,3,5,H2,,1,,,,
Email address found in WebSocket message,release,Informational,WebSocket Passive,2,6,3,2,2,18,3,10,H2,,1,,,,1
Personally Identifiable Information via WebSocket,release,High,WebSocket Passive,2,6,2,2,2,12,3,10,H2,,1,,,,1
Private IP Disclosure via WebSocket,release,Low,WebSocket Passive,2,6,2,2,3,20,3,10,H2,,1,,,,1
Username Hash Found in WebSocket message,release,Informational,WebSocket Passive,2,6,2,2,2,12,3,10,H2,,1,,,,1
Information Disclosure - Suspicious Comments in XML via WebSocket,release,Informational,WebSocket Passive,2,6,3,2,2,18,3,10,H2,,1,,,,
